Project,URL,SHA,Polluter,Cleaner,Victim
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_occam_data.py::test_occam_data_save_load,test/test_occam_data.py::test_occam_data_progress_bars
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_read_fort1.py::test_parse_bool,test/test_occam_data.py::test_occam_data_progress_bars
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_read_fort1.py::test_read_fort1_file,test/test_occam_data.py::test_occam_data_progress_bars
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_read_fort1.py::test_read_fort1_invalid,test/test_occam_data.py::test_occam_data_progress_bars
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_read_fort1.py::test_read_fort1_file_contents,test/test_occam_data.py::test_occam_data_progress_bars
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_read_fort7.py::test_read_fort7_file,test/test_occam_data.py::test_occam_data_progress_bars
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_read_fort7.py::test_read_fort7_array_length,test/test_occam_data.py::test_occam_data_progress_bars
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_read_fort7.py::test_read_fort7_values,test/test_occam_data.py::test_occam_data_progress_bars
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_read_xyz.py::test_read_xyz_file,test/test_occam_data.py::test_occam_data_progress_bars
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_read_xyz.py::test_read_xyz_types,test/test_occam_data.py::test_occam_data_progress_bars
